,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 2,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 3,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 4,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 5,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 6,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 7,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 8,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 9,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Ejecución 10,830,1,7579,1,3157,1,43457,1,301476,1,408101,1
Media,830.0,1.0,7579.0,1.0,3157.0,1.0,43457.0,1.0,301476.0,1.0,408101.0,1.0
Des. Tip. (s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
