,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,1198.0,66622,15764.0,208000,10204.0,448000,525826.0,1046400,3234770.0,1734400,8200932.0,2796800
Ejecución 2,1067.0,112000,15018.0,208000,7901.0,448000,664775.0,1046400,3355581.0,1734400,7774568.0,2796800
Ejecución 3,1034.0,89396,12473.0,208000,8912.0,448000,432282.0,1046400,4009915.0,1734400,7481105.0,2796800
Ejecución 4,1097.0,100103,15251.0,208000,10038.0,448000,567343.0,1046400,3705448.0,1734400,7712646.0,2796800
Ejecución 5,998.0,112000,14735.0,208000,9997.0,448000,487967.0,1046400,3014575.0,1734400,8416668.0,2796800
Ejecución 6,1039.0,80213,12624.0,208000,8449.0,448000,678666.0,1046400,3856392.0,1734400,7971610.0,2796800
Ejecución 7,1084.0,64762,13635.0,208000,13353.0,448000,496012.0,1046400,3390939.0,1734400,7742555.0,2796800
Ejecución 8,1083.0,112000,13045.0,208000,7517.0,448000,465582.0,1046400,4928702.0,1734400,7615341.0,2796800
Ejecución 9,1285.0,112000,16471.0,208000,10536.0,448000,544637.0,1046400,3229159.0,1734400,7850176.0,2796800
Ejecución 10,1018.0,104536,13091.0,208000,9643.0,448000,675403.0,1046400,3215409.0,1734400,7812913.0,2796800
Media,1090.3,95363.2,14210.7,208000.0,9655.0,448000.0,553849.3,1046400.0,3594089.0,1734400.0,7857851.4,2796800.0
Des. Tip. (s),88.02531201623518,18977.66077260314,1414.6761741747748,0.0,1655.6505267316127,0.0,90656.02183841218,0.0,565192.3830339148,0.0,276297.5083219777,0.0
