,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,936.0,112001,12708.0,208001,4123.0,448001,108566.0,1046401,1795905.0,1734401,3235236.0,2796801
Ejecución 2,1073.0,112001,12965.0,208001,3462.0,448001,112408.0,1046401,1918289.0,1734401,3413694.0,2796801
Ejecución 3,991.0,112001,12399.0,208001,3250.0,448001,136613.0,1046401,1824882.0,1734401,3272731.0,2796801
Ejecución 4,1011.0,112001,12593.0,208001,3218.0,448001,107542.0,1046401,1819819.0,1734401,3270034.0,2796801
Ejecución 5,1075.0,112001,12612.0,208001,2964.0,448001,110473.0,1046401,1957831.0,1734401,3133754.0,2796801
Ejecución 6,1010.0,112001,12412.0,208001,3400.0,448001,114844.0,1046401,1703828.0,1734401,3278107.0,2796801
Ejecución 7,1017.0,112001,12753.0,208001,3224.0,448001,108905.0,1046401,1759032.0,1734401,3300488.0,2796801
Ejecución 8,1005.0,112001,12313.0,208001,3299.0,448001,119205.0,1046401,1815570.0,1734401,3198248.0,2796801
Ejecución 9,964.0,112001,11568.0,208001,3183.0,448001,300989.0,1046401,1739881.0,1734401,3364568.0,2796801
Ejecución 10,911.0,112001,11981.0,208001,3005.0,448001,108636.0,1046401,1865098.0,1734401,3393892.0,2796801
Media,999.3,112001.0,12430.4,208001.0,3312.8,448001.0,132818.1,1046401.0,1820013.5,1734401.0,3286075.2,2796801.0
Des. Tip. (s),52.5759767701308,0.0,406.49564709983196,0.0,323.2724341274193,0.0,59725.082399738516,0.0,78136.69307516298,0.0,87100.66857735491,0.0
