,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,1343.0,112000,23549.0,208000,27283.0,448000,1982334.0,1046400,8322839.0,1734400,15051918.0,2796800
Ejecución 2,1120.0,112000,24947.0,208000,26558.0,448000,1829036.0,1046400,8278559.0,1734400,14588539.0,2796800
Ejecución 3,1298.0,112000,23166.0,208000,25863.0,448000,1997397.0,1046400,8330949.0,1734400,14771671.0,2796800
Ejecución 4,1071.0,112000,24656.0,208000,25367.0,448000,2025072.0,1046400,8325040.0,1734400,14940328.0,2796800
Ejecución 5,1144.0,112000,22211.0,208000,27055.0,448000,2010331.0,1046400,8551875.0,1734400,14907335.0,2796800
Ejecución 6,1102.0,112000,23846.0,208000,26820.0,448000,1963249.0,1046400,8515591.0,1734400,14980121.0,2796800
Ejecución 7,1512.0,112000,23937.0,208000,27333.0,448000,1985424.0,1046400,8559312.0,1734400,14950542.0,2796800
Ejecución 8,1198.0,112000,24717.0,208000,26324.0,448000,2015600.0,1046400,8438387.0,1734400,14615445.0,2796800
Ejecución 9,1237.0,112000,22495.0,208000,25139.0,448000,1956213.0,1046400,8527299.0,1734400,14912724.0,2796800
Ejecución 10,1233.0,112000,23918.0,208000,26400.0,448000,1906079.0,1046400,8274081.0,1734400,14724301.0,2796800
Media,1225.8,112000.0,23744.2,208000.0,26414.2,448000.0,1967073.5,1046400.0,8412393.2,1734400.0,14844292.4,2796800.0
Des. Tip. (s),132.90915861762292,0.0,918.0782827914693,0.0,762.299561997921,0.0,59615.671476643714,0.0,117801.46411163337,0.0,159227.16250843913,0.0
