,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,971.0,112001,10006.0,208001,6752.0,448001,360825.0,1046401,1315865.0,1734401,2384911.0,2796801
Ejecución 2,931.0,112001,11416.0,208001,6306.0,448001,343347.0,1046401,1277981.0,1734401,2417620.0,2796801
Ejecución 3,1129.0,112001,10553.0,208001,6386.0,448001,323467.0,1046401,1264055.0,1734401,2370424.0,2796801
Ejecución 4,1012.0,112001,10173.0,208001,6056.0,448001,347536.0,1046401,1258736.0,1734401,2206825.0,2796801
Ejecución 5,1094.0,112001,10396.0,208001,6451.0,448001,330375.0,1046401,1295593.0,1734401,2174382.0,2796801
Ejecución 6,1005.0,112001,11612.0,208001,6179.0,448001,328241.0,1046401,1274642.0,1734401,2366712.0,2796801
Ejecución 7,1013.0,112001,11576.0,208001,6304.0,448001,282705.0,1046401,1301120.0,1734401,2272068.0,2796801
Ejecución 8,978.0,112001,10932.0,208001,6757.0,448001,313166.0,1046401,1330433.0,1734401,2311700.0,2796801
Ejecución 9,1097.0,112001,9577.0,208001,5849.0,448001,303061.0,1046401,1177841.0,1734401,2218595.0,2796801
Ejecución 10,973.0,112001,10832.0,208001,6017.0,448001,293960.0,1046401,1277980.0,1734401,2255174.0,2796801
Media,1020.3,112001.0,10707.3,208001.0,6305.7,448001.0,322668.3,1046401.0,1277424.6,1734401.0,2297841.1,2796801.0
Des. Tip. (s),64.90856817263975,0.0,692.5805288115519,0.0,298.2810196218772,0.0,24695.93483888931,0.0,41676.50795565504,0.0,84605.26515195928,0.0
