,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,917.0,112004,12077.0,208003,3608.0,448004,108314.0,1046404,1895994.0,1734404,3451142.0,2796803
Ejecución 2,945.0,112005,12743.0,208004,3437.0,448004,115325.0,1046404,1798970.0,1734405,3289001.0,2796805
Ejecución 3,1016.0,112005,11899.0,208005,3808.0,448004,117860.0,1046403,1819991.0,1734405,3429481.0,2796803
Ejecución 4,958.0,112005,11839.0,208004,4476.0,448004,314913.0,1046402,1783636.0,1734403,3203343.0,2796805
Ejecución 5,1025.0,112005,12011.0,208004,2958.0,448004,107548.0,1046403,1826971.0,1734404,3455187.0,2796804
Ejecución 6,1017.0,112004,12045.0,208005,2981.0,448002,108225.0,1046403,1746576.0,1734404,3317904.0,2796803
Ejecución 7,947.0,112005,11410.0,208005,3174.0,448005,112117.0,1046404,1827573.0,1734404,3422040.0,2796804
Ejecución 8,1054.0,112005,12745.0,208003,3131.0,448003,112916.0,1046404,1864948.0,1734404,3183965.0,2796803
Ejecución 9,989.0,112005,12632.0,208005,3050.0,448004,125439.0,1046403,1720909.0,1734405,3263407.0,2796805
Ejecución 10,1030.0,112004,12130.0,208004,3519.0,448004,114279.0,1046404,1777668.0,1734405,3198021.0,2796804
Media,989.8,112004.7,12153.1,208004.2,3414.2,448003.8,133693.6,1046403.4,1806323.6,1734404.3,3321349.1,2796803.9
Des. Tip. (s),45.40386669779471,0.48304589153964794,432.2163681408756,0.7888106377466155,471.15456298567483,0.7888106377466155,63898.59050471215,0.699205898780101,52490.87380826838,0.674948557710553,110058.1419911514,0.8755950357709131
