,St70,St70,St70,St70,St70,Ch130,Ch130,Ch130,Ch130,Ch130,A280,A280,A280,A280,A280
,S. ini,S. opt,Mej. S.,#Ev,T(seg),S. ini,S. opt,Mej. S.,#Ev,T(seg),S. ini,S. opt,Mej. S.,#Ev,T(seg)
It 1,840.0,775.0,775.0,24151,0.08,7659.0,7588.0,7588.0,83851,0.27,3174.0,3095.0,3095.0,448001,1.25
It 2,880.0,753.0,753.0,41056,0.11,7843.0,7661.0,7588.0,100621,0.24,3247.0,3142.0,3095.0,448001,1.18
It 3,866.0,770.0,753.0,24151,0.06,7468.0,7329.0,7329.0,100621,0.24,3107.0,3027.0,3027.0,448001,1.23
It 4,858.0,773.0,753.0,41056,0.12,7232.0,6992.0,6992.0,117391,0.29,3612.0,3453.0,3027.0,448001,1.18
It 5,866.0,762.0,753.0,28981,0.07,8324.0,8049.0,6992.0,125776,0.33,3236.0,3045.0,3027.0,448001,1.25
It 6,835.0,763.0,753.0,43471,0.1,8106.0,7916.0,6992.0,125776,0.33,3317.0,3245.0,3027.0,448001,1.25
It 7,868.0,762.0,753.0,26566,0.06,7777.0,7601.0,6992.0,92236,0.24,3341.0,3195.0,3027.0,448001,1.13
It 8,824.0,775.0,753.0,28981,0.07,6909.0,6789.0,6789.0,58696,0.15,3289.0,3216.0,3027.0,448001,1.2
It 9,867.0,762.0,753.0,43471,0.11,7951.0,7767.0,6789.0,92236,0.29,3218.0,3135.0,3027.0,448001,1.21
It 10,872.0,760.0,753.0,31396,0.08,7311.0,7191.0,6789.0,50311,0.13,3275.0,3181.0,3027.0,448001,1.15
Media,857.6,765.5,755.2,33328.0,0.09,7658.0,7488.3,7084.0,94751.5,0.25,3281.6,3173.4,3040.6,448001.0,1.2
Des. tip.,18.25,7.35,6.96,8033.88,0.02,431.73,405.04,309.66,25631.84,0.07,134.75,121.18,28.67,0.0,0.04
Sum,-,-,-,333280,0.86,-,-,-,947515,2.51,-,-,-,4480010,12.03
