,St70,St70,St70,St70,St70,Ch130,Ch130,Ch130,Ch130,Ch130,A280,A280,A280,A280,A280
,S. ini,S. opt,Mej. S.,#Ev,T(seg),S. ini,S. opt,Mej. S.,#Ev,T(seg),S. ini,S. opt,Mej. S.,#Ev,T(seg)
It 1,3638.0,1121.0,1121.0,112001,0.3,43666.0,23538.0,23538.0,208001,0.54,32548.0,25596.0,25596.0,448001,1.26
It 2,1144.0,1052.0,1052.0,41056,0.1,29057.0,18238.0,18238.0,208001,0.49,26488.0,22004.0,22004.0,448001,1.11
It 3,1064.0,1052.0,1052.0,4831,0.01,24771.0,15996.0,15996.0,208001,0.55,22093.0,19085.0,19085.0,448001,1.18
It 4,1702.0,1164.0,1052.0,50716,0.13,23311.0,14812.0,14812.0,208001,0.5,20741.0,17096.0,17096.0,448001,1.14
It 5,2095.0,1208.0,1052.0,33811,0.08,20771.0,13811.0,13811.0,208001,0.49,20561.0,16605.0,16605.0,448001,1.19
It 6,2152.0,1246.0,1052.0,53131,0.13,13830.0,12846.0,12846.0,208001,0.54,21146.0,16791.0,16605.0,448001,1.2
It 7,1246.0,1246.0,1052.0,2416,0.01,20118.0,13576.0,12846.0,208001,0.5,20681.0,16560.0,16560.0,448001,1.12
It 8,1977.0,1017.0,1017.0,111091,0.28,21453.0,13799.0,12846.0,208001,0.5,20840.0,16856.0,16560.0,448001,1.14
It 9,1656.0,984.0,984.0,57961,0.13,26056.0,13983.0,12846.0,208001,0.49,20966.0,17135.0,16560.0,448001,1.16
It 10,1512.0,1011.0,984.0,43471,0.1,20922.0,13398.0,12846.0,208001,0.51,21669.0,16966.0,16560.0,448001,1.13
It 11,1396.0,959.0,959.0,48301,0.12,22529.0,13847.0,12846.0,208001,0.66,19986.0,16282.0,16282.0,448001,1.16
It 12,1557.0,1012.0,959.0,50716,0.13,21418.0,13951.0,12846.0,208001,0.54,20209.0,15975.0,15975.0,448001,1.14
It 13,1827.0,1038.0,959.0,45886,0.11,22571.0,14504.0,12846.0,208001,0.49,21371.0,16786.0,15975.0,448001,1.15
It 14,1760.0,1007.0,959.0,111091,0.27,22744.0,15283.0,12846.0,208001,0.49,20567.0,16717.0,15975.0,448001,1.17
It 15,1404.0,1033.0,959.0,38641,0.09,22281.0,14944.0,12846.0,208001,0.49,18962.0,15975.0,15975.0,448001,1.16
It 16,1602.0,1068.0,959.0,41056,0.1,22105.0,13736.0,12846.0,208001,0.49,19044.0,15735.0,15735.0,448001,1.24
It 17,1526.0,1075.0,959.0,43471,0.1,20024.0,13395.0,12846.0,208001,0.5,15735.0,14292.0,14292.0,448001,1.14
It 18,1650.0,1057.0,959.0,72451,0.17,19887.0,12141.0,12141.0,208001,0.53,19705.0,14989.0,14292.0,448001,1.21
It 19,1505.0,1103.0,959.0,38641,0.15,18951.0,12763.0,12141.0,208001,0.49,16144.0,13971.0,13971.0,448001,1.18
It 20,1844.0,1109.0,959.0,55546,0.18,19918.0,13128.0,12141.0,208001,0.5,18319.0,14549.0,13971.0,448001,1.15
It 21,1427.0,1173.0,959.0,31396,0.1,18873.0,13542.0,12141.0,208001,0.49,16990.0,14560.0,13971.0,448001,1.18
It 22,1846.0,1157.0,959.0,60376,0.16,22730.0,14326.0,12141.0,208001,0.51,18319.0,14687.0,13971.0,448001,1.1
It 23,1542.0,1172.0,959.0,31396,0.08,19964.0,12884.0,12141.0,208001,0.5,18928.0,14533.0,13971.0,448001,1.25
It 24,1860.0,1104.0,959.0,53131,0.13,14028.0,12309.0,12141.0,208001,0.5,19017.0,14877.0,13971.0,448001,1.17
It 25,1823.0,1007.0,959.0,94186,0.25,22054.0,12870.0,12141.0,208001,0.53,19888.0,15646.0,13971.0,448001,1.15
It 26,1532.0,1002.0,959.0,41056,0.11,14094.0,12046.0,12046.0,208001,0.5,18883.0,15293.0,13971.0,448001,1.22
It 27,1369.0,969.0,959.0,33811,0.08,22032.0,12465.0,12046.0,208001,0.5,15958.0,13958.0,13958.0,448001,1.14
It 28,1246.0,984.0,959.0,36226,0.09,20587.0,11919.0,11919.0,208001,0.51,17820.0,13663.0,13663.0,448001,1.2
