,St70,St70,St70,St70,St70,Ch130,Ch130,Ch130,Ch130,Ch130,A280,A280,A280,A280,A280
,S. ini,S. opt,Mej. S.,#Ev,T(seg),S. ini,S. opt,Mej. S.,#Ev,T(seg),S. ini,S. opt,Mej. S.,#Ev,T(seg)
It 1,3415.0,1179.0,1179.0,112001,0.3,43026.0,22848.0,22848.0,208001,0.57,35081.0,27442.0,27442.0,448001,1.4
It 2,1328.0,1096.0,1096.0,50716,0.13,26472.0,18135.0,18135.0,208001,0.6,28516.0,22701.0,22701.0,448001,1.29
It 3,1380.0,1097.0,1096.0,16906,0.04,19495.0,15543.0,15543.0,208001,0.6,25251.0,21087.0,21087.0,448001,1.3
It 4,1331.0,1059.0,1059.0,43471,0.11,17708.0,13245.0,13245.0,208001,0.59,22340.0,18820.0,18820.0,448001,1.29
It 5,1245.0,1054.0,1054.0,14491,0.04,16497.0,12786.0,12786.0,208001,0.57,19824.0,17156.0,17156.0,448001,1.31
It 6,1431.0,1006.0,1006.0,36226,0.09,15665.0,11876.0,11876.0,208001,0.65,19708.0,16312.0,16312.0,448001,1.32
It 7,1187.0,1009.0,1006.0,19321,0.05,15999.0,11510.0,11510.0,208001,0.54,17055.0,15072.0,15072.0,448001,1.24
It 8,1258.0,1008.0,1006.0,26566,0.07,14043.0,10935.0,10935.0,208001,0.55,16535.0,14217.0,14217.0,448001,1.3
It 9,1253.0,999.0,999.0,31396,0.09,13517.0,10546.0,10546.0,208001,0.53,16798.0,13886.0,13886.0,448001,1.29
It 10,1323.0,997.0,997.0,24151,0.07,13463.0,9979.0,9979.0,208001,0.57,16405.0,13433.0,13433.0,448001,1.3
It 11,1284.0,997.0,997.0,31396,0.08,13506.0,9862.0,9862.0,208001,0.56,16119.0,13645.0,13433.0,448001,1.26
It 12,1262.0,997.0,997.0,26566,0.07,12595.0,9679.0,9679.0,208001,0.56,14185.0,13161.0,13161.0,448001,1.25
It 13,1189.0,1056.0,997.0,14491,0.04,9679.0,9623.0,9623.0,41926,0.11,15474.0,13057.0,13057.0,448001,1.28
It 14,1359.0,1036.0,997.0,24151,0.06,11294.0,9748.0,9623.0,176086,0.47,15038.0,13191.0,13057.0,448001,1.34
It 15,1786.0,1046.0,997.0,41056,0.11,12382.0,10125.0,9623.0,208001,0.55,16319.0,13305.0,13057.0,448001,1.28
It 16,1240.0,1091.0,997.0,14491,0.05,15347.0,10819.0,9623.0,208001,0.54,16262.0,13236.0,13057.0,448001,1.34
It 17,1284.0,1115.0,997.0,19321,0.05,18914.0,12742.0,9623.0,208001,0.54,13346.0,12371.0,12371.0,448001,1.23
It 18,1531.0,1110.0,997.0,31396,0.08,17214.0,12545.0,9623.0,208001,0.59,14131.0,12259.0,12259.0,448001,1.27
It 19,1568.0,1108.0,997.0,26566,0.1,13281.0,11831.0,9623.0,208001,0.57,14074.0,12471.0,12259.0,448001,1.24
It 20,1749.0,1085.0,997.0,57961,0.15,16777.0,11832.0,9623.0,208001,0.54,15963.0,13014.0,12259.0,448001,1.25
It 21,1255.0,1085.0,997.0,28981,0.08,15352.0,11811.0,9623.0,208001,0.53,15677.0,13036.0,12259.0,448001,1.35
It 22,1342.0,1112.0,997.0,16906,0.05,11811.0,11737.0,9623.0,75466,0.2,16331.0,13308.0,12259.0,448001,1.22
It 23,1367.0,1187.0,997.0,14491,0.04,11874.0,11737.0,9623.0,25156,0.07,17902.0,14179.0,12259.0,448001,1.33
It 24,1738.0,1061.0,997.0,57961,0.16,15360.0,11495.0,9623.0,192856,0.52,15664.0,13705.0,12259.0,448001,1.33
It 25,1976.0,1076.0,997.0,55546,0.15,14084.0,11667.0,9623.0,150931,0.45,16573.0,13506.0,12259.0,448001,1.36
It 26,1227.0,1112.0,997.0,21736,0.05,16867.0,11732.0,9623.0,208001,0.55,14704.0,12911.0,12259.0,448001,1.47
It 27,1336.0,1112.0,997.0,24151,0.06,17684.0,11481.0,9623.0,208001,0.56,12911.0,12093.0,12093.0,448001,1.38
It 28,1180.0,1112.0,997.0,9661,0.03,19750.0,12189.0,9623.0,208001,0.53,14768.0,12304.0,12093.0,448001,1.32
It 29,1501.0,1114.0,997.0,45886,0.12,15144.0,12227.0,9623.0,208001,0.56,15880.0,12280.0,12093.0,448001,1.24
It 30,1636.0,1144.0,997.0,48301,0.12,13936.0,12099.0,9623.0,208001,0.54,15064.0,12369.0,12093.0,448001,1.26
It 31,1308.0,1129.0,997.0,16906,0.05,16049.0,11788.0,9623.0,159316,0.45,15334.0,12581.0,12093.0,448001,1.28
It 32,1479.0,1124.0,997.0,48301,0.13,16717.0,11829.0,9623.0,208001,0.57,17851.0,13819.0,12093.0,448001,1.44
It 33,1496.0,1063.0,997.0,24151,0.06,18539.0,12183.0,9623.0,208001,0.57,15222.0,12847.0,12093.0,448001,1.35
It 34,1506.0,1061.0,997.0,31396,0.08,15474.0,12045.0,9623.0,208001,0.53,15050.0,12360.0,12093.0,448001,1.23
It 35,1449.0,1069.0,997.0,43471,0.11,15657.0,12256.0,9623.0,208001,0.55,12908.0,11626.0,11626.0,448001,1.24
It 36,1219.0,1034.0,997.0,31396,0.1,18242.0,11453.0,9623.0,208001,0.57,14683.0,12087.0,11626.0,448001,1.2
It 37,1034.0,1034.0,997.0,2416,0.01,12220.0,11060.0,9623.0,208001,0.54,15373.0,12441.0,11626.0,448001,1.27
It 38,1372.0,899.0,899.0,65206,0.19,17982.0,11136.0,9623.0,208001,0.61,15000.0,12871.0,11626.0,448001,1.29
It 39,1101.0,920.0,899.0,26566,0.09,15110.0,10658.0,9623.0,208001,0.54,16246.0,13274.0,11626.0,448001,1.26
It 40,1126.0,896.0,896.0,24151,0.06,14557.0,10612.0,9623.0,208001,0.56,18453.0,15005.0,11626.0,448001,1.31
It 41,1070.0,921.0,896.0,21736,0.06,13834.0,10429.0,9623.0,208001,0.61,16883.0,14268.0,11626.0,448001,1.49
It 42,1137.0,873.0,873.0,16906,0.04,12257.0,10172.0,9623.0,208001,0.54,16942.0,13806.0,11626.0,448001,1.43
It 43,969.0,854.0,854.0,16906,0.05,19484.0,11407.0,9623.0,208001,0.56,17976.0,14041.0,11626.0,448001,1.26
It 44,983.0,930.0,854.0,16906,0.05,13294.0,10239.0,9623.0,208001,0.57,17514.0,14384.0,11626.0,448001,1.31
It 45,930.0,930.0,854.0,2416,0.01,16086.0,9965.0,9623.0,208001,0.59,18494.0,14478.0,11626.0,448001,1.26
It 46,1345.0,999.0,854.0,26566,0.08,10156.0,9517.0,9517.0,192856,0.49,16364.0,13607.0,11626.0,448001,1.28
It 47,1279.0,1051.0,854.0,43471,0.12,11781.0,9594.0,9517.0,192856,0.54,16219.0,12936.0,11626.0,448001,1.25
It 48,1235.0,1050.0,854.0,9661,0.02,14342.0,9769.0,9517.0,208001,0.55,15294.0,12806.0,11626.0,448001,1.29
It 49,1247.0,1050.0,854.0,21736,0.06,13231.0,9644.0,9517.0,208001,0.54,16656.0,13753.0,11626.0,448001,1.22
It 50,1254.0,1066.0,854.0,16906,0.04,16906.0,9800.0,9517.0,208001,0.59,18611.0,13917.0,11626.0,448001,1.25
Media,1370.0,1044.26,974.24,29868.6,0.08,15813.08,11598.8,10441.76,194709.8,0.53,17019.42,14128.68,13288.2,448001.0,1.3
Des. tip.,361.83,77.41,71.82,18855.48,0.05,4903.53,2229.71,2405.18,39661.79,0.11,3801.47,2847.32,3113.96,0.0,0.06
Sum,-,-,-,1493430,4.05,-,-,-,9735490,26.38,-,-,-,22400050,64.95
